sources,sinks,Time-create-MWOD,Time-create-MWD,Time-run-MCMF,Time-run-simplex,Time-run-capacity
200,100,0.040863752365112305,0.03391289710998535,2.290924310684204,1.8921525478363037,55.93987059593201
200,200,0.07459044456481934,0.07614398002624512,7.18124532699585,6.216107130050659,107.72932052612305
200,300,0.1281440258026123,0.10883641242980957,9.189743995666504,7.780438423156738,159.3755395412445
200,400,0.16847586631774902,0.1454179286956787,12.961576223373413,11.084436416625977,191.89075684547424
200,500,0.1812129020690918,0.1849687099456787,17.787436723709106,15.433973789215088,298.6443543434143
200,600,0.25397300720214844,0.22142338752746582,21.39032292366028,18.529416799545288,285.85124611854553
200,700,0.28937625885009766,0.257091760635376,26.243669271469116,22.6670503616333,269.7698702812195
200,800,0.2847003936767578,0.28612518310546875,30.090845346450806,26.35272765159607,278.3367955684662
200,900,0.3241546154022217,0.32258176803588867,34.87372303009033,30.40962314605713,397.59521102905273
200,1000,0.3610692024230957,0.3599121570587158,38.69905948638916,34.13531446456909,337.41247487068176
200,1200,0.49424123764038086,0.4307572841644287,47.49182486534119,41.6570565700531,205.5228307247162
200,1400,0.506706714630127,0.5064353942871094,56.638761043548584,50.13098430633545,144.78136563301086
200,1600,0.5842499732971191,0.5829942226409912,67.51690411567688,59.412325620651245,142.95293593406677
200,1800,0.6514115333557129,0.6578361988067627,75.77093529701233,66.7033805847168,165.13545441627502
200,2000,0.7283787727355957,0.735112190246582,63.45254945755005,55.57951521873474,446.7020320892334
